condition,budget,mode,n_seeds,member_rate,nonmember_rate,lift,lift_ci95_low,lift_ci95_high,member_records_per_seed,nonmember_records_per_seed
c0_clean,5,fixed_template_1,3,0.109,0.1103,-0.0013,-0.004,0.002,1000,1000
c0_clean,5,best_of_highcue_templates,3,0.5233,0.5297,-0.0063,-0.011,-0.003,1000,1000
c0_clean,20,fixed_template_1,3,0.2457,0.2423,0.0033,-0.004,0.011,1000,1000
c0_clean,20,best_of_highcue_templates,3,0.897,0.9043,-0.0073,-0.016,0.0,1000,1000
c2_exact_10x,5,fixed_template_1,3,0.3113,0.2513,0.06,0.056,0.066,1000,1000
c2_exact_10x,5,best_of_highcue_templates,3,0.666,0.6223,0.0437,0.022,0.059,1000,1000
c2_exact_10x,20,fixed_template_1,3,0.3453,0.2927,0.0527,0.052,0.053,1000,1000
c2_exact_10x,20,best_of_highcue_templates,3,0.9257,0.8383,0.0873,0.066,0.103,1000,1000
c3_fuzzy_5x,5,fixed_template_1,3,0.3073,0.23,0.0773,0.06,0.097,1000,1000
c3_fuzzy_5x,5,best_of_highcue_templates,3,0.8807,0.7763,0.1043,0.087,0.134,1000,1000
c3_fuzzy_5x,20,fixed_template_1,3,0.3353,0.2807,0.0547,0.05,0.062,1000,1000
c3_fuzzy_5x,20,best_of_highcue_templates,3,0.996,0.98,0.016,0.004,0.027,1000,1000
