category,metric,member,nonmember,difference
summary,records_total,1000,1000,0.0
family,family_identity_records,402,382,20.0
family,family_account_records,298,292,6.0
family,family_event_records,300,326,-26.0
summary,mean_anchor_field_count,3.3,3.326,-0.026
summary,mean_sensitive_field_count,4.3,4.326,-0.026
summary,mean_target_text_chars,71.832,73.05,-1.218
summary,median_target_text_chars,68.0,70.0,-2.0
summary,mean_prompt_tokens,12.4069,12.3976,0.0093
summary,mean_prompt_chars,89.7198,89.6859,0.0338
sensitive_field,sensitive_field_booking_code_records,300,326,-26.0
sensitive_field,sensitive_field_customer_id_records,298,292,6.0
sensitive_field,sensitive_field_email_records,402,382,20.0
sensitive_field,sensitive_field_employee_id_records,402,382,20.0
sensitive_field,sensitive_field_hotel_name_records,300,326,-26.0
sensitive_field,sensitive_field_last_four_digits_records,298,292,6.0
sensitive_field,sensitive_field_meeting_time_records,300,326,-26.0
sensitive_field,sensitive_field_phone_records,402,382,20.0
sensitive_field,sensitive_field_recovery_email_records,298,292,6.0
sensitive_field,sensitive_field_seat_number_records,300,326,-26.0
sensitive_field,sensitive_field_street_address_records,402,382,20.0
sensitive_field,sensitive_field_support_ticket_id_records,298,292,6.0
sensitive_field,sensitive_field_travel_date_records,300,326,-26.0
prompt_template,prompt_template_account_high_01,298,292,6.0
prompt_template,prompt_template_account_high_02,298,292,6.0
prompt_template,prompt_template_account_high_03,298,292,6.0
prompt_template,prompt_template_account_low_01,298,292,6.0
prompt_template,prompt_template_account_low_02,298,292,6.0
prompt_template,prompt_template_account_low_03,298,292,6.0
prompt_template,prompt_template_account_low_04,298,292,6.0
prompt_template,prompt_template_account_medium_01,298,292,6.0
prompt_template,prompt_template_account_medium_02,298,292,6.0
prompt_template,prompt_template_account_medium_03,298,292,6.0
prompt_template,prompt_template_account_no_cue_01,298,292,6.0
prompt_template,prompt_template_account_no_cue_02,298,292,6.0
prompt_template,prompt_template_account_no_cue_03,298,292,6.0
prompt_template,prompt_template_event_high_01,300,326,-26.0
prompt_template,prompt_template_event_high_02,300,326,-26.0
prompt_template,prompt_template_event_high_03,300,326,-26.0
prompt_template,prompt_template_event_low_01,300,326,-26.0
prompt_template,prompt_template_event_low_02,300,326,-26.0
prompt_template,prompt_template_event_low_03,300,326,-26.0
prompt_template,prompt_template_event_low_04,300,326,-26.0
prompt_template,prompt_template_event_no_cue_01,300,326,-26.0
prompt_template,prompt_template_event_no_cue_02,300,326,-26.0
prompt_template,prompt_template_event_no_cue_03,300,326,-26.0
prompt_template,prompt_template_identity_high_01,402,382,20.0
prompt_template,prompt_template_identity_high_02,402,382,20.0
prompt_template,prompt_template_identity_high_03,402,382,20.0
prompt_template,prompt_template_identity_low_01,402,382,20.0
prompt_template,prompt_template_identity_low_02,402,382,20.0
prompt_template,prompt_template_identity_low_03,402,382,20.0
prompt_template,prompt_template_identity_low_04,402,382,20.0
prompt_template,prompt_template_identity_medium_01,402,382,20.0
prompt_template,prompt_template_identity_medium_02,402,382,20.0
prompt_template,prompt_template_identity_medium_03,402,382,20.0
prompt_template,prompt_template_identity_no_cue_01,402,382,20.0
prompt_template,prompt_template_identity_no_cue_02,402,382,20.0
prompt_template,prompt_template_identity_no_cue_03,402,382,20.0
