seed,condition,condition_slug,member_rate_B20,member_ci_low,member_ci_high,nonmember_rate_B20,nonmember_ci_low,nonmember_ci_high,lift_B20,lift_ci_low,lift_ci_high,member_tasks,nonmember_tasks
1,C0-clean,c0_clean,0.382,0.3648,0.3995,0.3873,0.3701,0.4049,-0.0053,-0.0299,0.0193,3000,3000
2,C0-clean,c0_clean,0.373,0.3559,0.3905,0.3703,0.3532,0.3878,0.0027,-0.0218,0.0271,3000,3000
3,C0-clean,c0_clean,0.3807,0.3635,0.3982,0.3793,0.3621,0.3968,0.0013,-0.0232,0.0259,3000,3000
1,C1-exact-1x,c1_exact_1x,0.4337,0.416,0.4515,0.3697,0.3526,0.3871,0.064,0.0392,0.0887,3000,3000
2,C1-exact-1x,c1_exact_1x,0.4313,0.4137,0.4491,0.3927,0.3753,0.4103,0.0387,0.0138,0.0635,3000,3000
3,C1-exact-1x,c1_exact_1x,0.4477,0.43,0.4655,0.3983,0.381,0.416,0.0493,0.0243,0.0743,3000,3000
1,C2-exact-10x,c2_exact_10x,0.4283,0.4107,0.4461,0.379,0.3618,0.3965,0.0493,0.0245,0.0741,3000,3000
2,C2-exact-10x,c2_exact_10x,0.4137,0.3962,0.4314,0.373,0.3559,0.3905,0.0407,0.0159,0.0653,3000,3000
3,C2-exact-10x,c2_exact_10x,0.4323,0.4147,0.4501,0.3797,0.3625,0.3972,0.0527,0.0278,0.0774,3000,3000
1,C3-fuzzy-5x,c3_fuzzy_5x,0.4463,0.4286,0.4642,0.4273,0.4097,0.4451,0.019,-0.0061,0.0441,3000,3000
2,C3-fuzzy-5x,c3_fuzzy_5x,0.445,0.4273,0.4628,0.4187,0.4011,0.4364,0.0263,0.0013,0.0514,3000,3000
3,C3-fuzzy-5x,c3_fuzzy_5x,0.444,0.4263,0.4618,0.4157,0.3981,0.4334,0.0283,0.0033,0.0533,3000,3000
1,C4-redacted,c4_redacted,0.069,0.0605,0.0786,0.0727,0.0639,0.0825,-0.0037,-0.0167,0.0093,3000,3000
2,C4-redacted,c4_redacted,0.0453,0.0385,0.0534,0.043,0.0363,0.0509,0.0023,-0.0081,0.0128,3000,3000
3,C4-redacted,c4_redacted,0.049,0.0418,0.0573,0.0503,0.0431,0.0587,-0.0013,-0.0124,0.0097,3000,3000
