condition,label,budget,n_seeds,mean_high_lift,sd_high_lift,ci95_low,ci95_high,mean_member_extraction,mean_nonmember_extraction,delta_vs_c0,delta_vs_c4
c0_clean,C0-clean,1,3,-0.0025,0.0086,-0.0239,0.0189,0.1384,0.1409,0.0,-0.0029
c1_exact_1x,C1-exact-1x,1,3,0.0431,0.0062,0.0277,0.0585,0.2357,0.1926,0.0456,0.0427
c2_exact_10x,C2-exact-10x,1,3,0.0445,0.0069,0.0274,0.0615,0.2301,0.1856,0.0469,0.044
c3_fuzzy_5x,C3-fuzzy-5x,1,3,0.081,0.006,0.066,0.096,0.2597,0.1787,0.0835,0.0806
c4_redacted,C4-redacted,1,3,0.0004,0.0002,-0.0001,0.001,0.0004,0.0,0.0029,0.0
c0_clean,C0-clean,5,3,-0.0023,0.002,-0.0073,0.0027,0.1979,0.2002,0.0,0.0002
c1_exact_1x,C1-exact-1x,5,3,0.0562,0.012,0.0264,0.086,0.3528,0.2965,0.0585,0.0588
c2_exact_10x,C2-exact-10x,5,3,0.0351,0.0056,0.0212,0.0491,0.3252,0.2901,0.0374,0.0377
c3_fuzzy_5x,C3-fuzzy-5x,5,3,0.0654,0.0162,0.0252,0.1057,0.3946,0.3291,0.0677,0.068
c4_redacted,C4-redacted,5,3,-0.0025,0.004,-0.0125,0.0075,0.0169,0.0195,-0.0002,0.0
c0_clean,C0-clean,20,3,-0.0004,0.0043,-0.011,0.0102,0.3786,0.379,0.0,0.0005
c1_exact_1x,C1-exact-1x,20,3,0.0507,0.0127,0.0191,0.0822,0.4376,0.3869,0.0511,0.0516
c2_exact_10x,C2-exact-10x,20,3,0.0476,0.0062,0.0322,0.0629,0.4248,0.3772,0.048,0.0485
c3_fuzzy_5x,C3-fuzzy-5x,20,3,0.0245,0.0049,0.0124,0.0367,0.4451,0.4206,0.025,0.0254
c4_redacted,C4-redacted,20,3,-0.0009,0.003,-0.0084,0.0066,0.0544,0.0553,-0.0005,0.0
