condition,label,cue_band,budget,column_label,mean_lift,pooled_lift,ci95_low,ci95_high,member_successes,member_tasks,nonmember_successes,nonmember_tasks
c0_clean,C0-clean,high,1,High $B{=}1$,-0.0025,-0.0024,-0.0126,0.0077,1246,9000,1268,9000
c0_clean,C0-clean,high,5,High $B{=}5$,-0.0023,-0.0023,-0.014,0.0093,1781,9000,1802,9000
c0_clean,C0-clean,high,20,High $B{=}20$,-0.0004,-0.0004,-0.0146,0.0137,3407,9000,3411,9000
c0_clean,C0-clean,low,20,Low $B{=}20$,0.0004,0.0003,-0.0001,0.0007,4,12000,0,12000
c0_clean,C0-clean,no_cue,20,No cue $B{=}20$,0.0001,0.0001,-0.0003,0.0005,1,9000,0,9000
c1_exact_1x,C1-exact-1x,high,1,High $B{=}1$,0.0431,0.0431,0.0311,0.0551,2121,9000,1733,9000
c1_exact_1x,C1-exact-1x,high,5,High $B{=}5$,0.0562,0.0562,0.0426,0.0699,3175,9000,2669,9000
c1_exact_1x,C1-exact-1x,high,20,High $B{=}20$,0.0507,0.0507,0.0363,0.065,3938,9000,3482,9000
c1_exact_1x,C1-exact-1x,low,20,Low $B{=}20$,0.0006,0.0006,-0.0001,0.0013,11,12000,4,12000
c1_exact_1x,C1-exact-1x,no_cue,20,No cue $B{=}20$,0.0004,0.0004,-0.0002,0.0011,6,9000,2,9000
c2_exact_10x,C2-exact-10x,high,1,High $B{=}1$,0.0445,0.0444,0.0326,0.0563,2071,9000,1671,9000
c2_exact_10x,C2-exact-10x,high,5,High $B{=}5$,0.0351,0.0351,0.0216,0.0486,2927,9000,2611,9000
c2_exact_10x,C2-exact-10x,high,20,High $B{=}20$,0.0476,0.0476,0.0332,0.0618,3823,9000,3395,9000
c2_exact_10x,C2-exact-10x,low,20,Low $B{=}20$,-0.0001,-0.0001,-0.0008,0.0007,9,12000,10,12000
c2_exact_10x,C2-exact-10x,no_cue,20,No cue $B{=}20$,0.0006,0.0007,-0.0,0.0014,7,9000,1,9000
c3_fuzzy_5x,C3-fuzzy-5x,high,1,High $B{=}1$,0.081,0.081,0.069,0.093,2337,9000,1608,9000
c3_fuzzy_5x,C3-fuzzy-5x,high,5,High $B{=}5$,0.0654,0.0654,0.0514,0.0794,3551,9000,2962,9000
c3_fuzzy_5x,C3-fuzzy-5x,high,20,High $B{=}20$,0.0245,0.0246,0.0101,0.039,4006,9000,3785,9000
c3_fuzzy_5x,C3-fuzzy-5x,low,20,Low $B{=}20$,0.0008,0.0008,0.0,0.0016,16,12000,6,12000
c3_fuzzy_5x,C3-fuzzy-5x,no_cue,20,No cue $B{=}20$,0.0005,0.0006,-0.0001,0.0012,6,9000,1,9000
c4_redacted,C4-redacted,high,1,High $B{=}1$,0.0004,0.0004,-0.0001,0.001,4,9000,0,9000
c4_redacted,C4-redacted,high,5,High $B{=}5$,-0.0025,-0.0026,-0.0065,0.0014,152,9000,175,9000
c4_redacted,C4-redacted,high,20,High $B{=}20$,-0.0009,-0.0009,-0.0075,0.0058,490,9000,498,9000
c4_redacted,C4-redacted,low,20,Low $B{=}20$,0.0009,0.0008,0.0002,0.0014,11,12000,1,12000
c4_redacted,C4-redacted,no_cue,20,No cue $B{=}20$,0.0009,0.0009,0.0002,0.0016,8,9000,0,9000
